id,female,black,hispanic,asian,age_ba,firstgen,parent_income_q,parent_grad,ugpa,stem_major,bus_major,ed_major,health_major,selective_inst,public_ug,state_unemp,metro,ga_funding_adj,grad_plus_loans,annual_tuition,program_years,gross_tuition,net_inst_rev,masters,ln_salary,salary
153,0,1,0,0,21,0,4,1,2.6500001,1,0,0,0,0,1,6.5999999,1,8.8000002,55.046169,24.582371,2.5,61.455925,39.94635,1,11.404722,89744.516
154,0,0,0,0,24,0,1,0,3.02,1,0,0,0,0,1,5.0999999,1,4.8000002,54.354507,34.812508,2.5,87.031265,56.570324,0,11.845037,139390.89
155,0,0,0,0,26,0,3,0,2.27,0,0,0,1,1,0,5.1999998,1,8.1000004,45.564316,57.889366,2,115.77873,75.25618,0,10.898875,54115.461
156,1,0,0,0,28,0,4,0,3.05,1,0,0,0,1,1,6.1999998,1,4,49.705326,48.861156,2.5,122.15289,79.399384,0,11.011518,60567.73
157,1,0,0,0,25,1,3,0,3.0699999,0,0,1,0,0,1,3.5999999,1,8.8999996,69.350586,14.000633,2,28.001266,18.200823,0,10.169245,26088.367
158,0,0,0,0,27,0,2,1,3.98,0,0,0,1,1,1,5.0999999,0,6.1999998,71.76104,54.500484,2,109.00097,70.850632,0,11.412194,90417.602
159,1,0,0,0,28,0,3,0,4,1,0,0,0,0,0,6.6999998,0,9.3999996,1.6613739,32.917751,2.5,82.29438,53.491348,1,11.548013,103571.01
160,0,0,1,0,21,0,1,1,3.78,0,1,0,0,0,0,5.5999999,1,8.8000002,92.282982,62.956791,2,125.91358,81.843826,1,11.434716,92477.094
161,0,0,0,0,24,0,1,0,2.8900001,1,0,0,0,0,0,4.5999999,1,6.5,78.092339,39.944592,2.5,99.861481,64.909966,1,12.642164,309330.09
162,0,0,0,0,21,1,2,0,3.96,0,0,0,0,0,1,2.7,1,10.4,4.9652443,10,2,20,13,1,12.12388,184218.97
163,0,0,0,0,24,0,3,0,3.5999999,0,0,0,0,0,0,5.3000002,1,8.6999998,22.82365,31.420334,2,62.840668,40.846436,1,10.676398,43321.238
164,0,0,0,0,27,0,3,0,2.95,1,0,0,0,1,0,5.9000001,1,9.5,69.47303,48.387516,2.5,120.96879,78.629715,1,12.51966,273665
165,0,0,0,0,26,0,2,0,4,1,0,0,0,1,0,3.0999999,0,7.5999999,129.81393,57.098503,2.5,142.74626,92.785072,0,11.466431,95456.953
166,1,0,0,0,21,1,4,0,2.9400001,1,0,0,0,0,1,4,1,9.6999998,89.602577,30.494503,2.5,76.236259,49.55357,1,12.244347,207803.17
167,0,0,0,0,23,1,2,0,4,0,0,0,0,1,1,6.0999999,0,11.2,92.156746,33.996792,2,67.993584,44.195831,1,12.947896,419952.13
